          GAMMA Circulations
-------------------------------------------------------
TIME STEP =        0
----------------------------------------------------
PANEL         L1           L2            L3           L4
  2     0.2725153     0.1115346     0.1827150     0.0138367
  3     0.1827150     0.0756122     0.1032772     0.0239340
  4     0.1032772     0.0420009    -0.0376198     0.0376198
  5     0.7560151    -0.0000000     0.2689670     0.1150829
  6     0.2689670     0.0000000     0.1467926     0.1115346
  7     0.1467926     0.0000000     0.0696659     0.0756122
  8     0.0696659     0.0000000    -0.0350538     0.0420009
  9     0.7560151    -0.1150829     0.2689670    -0.0000000
 10     0.2689670    -0.1115346     0.1467926     0.0000000
 11     0.1467926    -0.0756122     0.0696659     0.0000000
 12     0.0696659    -0.0420009    -0.0350538     0.0000000
 13     0.6409322    -0.0064890     0.2725153    -0.1150829
 14     0.2725153    -0.0138367     0.1827150    -0.1115346
 15     0.1827150    -0.0239340     0.1032772    -0.0756122
 16     0.1032772    -0.0376198    -0.0376198    -0.0420009
TIME STEP =        7
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6457361     0.1159401     0.2777921     0.0048039
  2     0.2777921     0.1119072     0.1897461     0.0100807
  3     0.1897461     0.0750626     0.1126384     0.0171118
  4     0.1126384     0.0402389    -0.0264730     0.0264730
  5     0.7616763    -0.0000000     0.2737592     0.1159401
  6     0.2737592    -0.0000000     0.1529014     0.1119072
  7     0.1529014    -0.0000000     0.0778147     0.0750626
  8     0.0778147    -0.0000000    -0.0247110     0.0402389
  9     0.7616763    -0.1159401     0.2737592    -0.0000000
 10     0.2737592    -0.1119072     0.1529014    -0.0000000
 11     0.1529014    -0.0750626     0.0778147    -0.0000000
 12     0.0778147    -0.0402389    -0.0247110    -0.0000000
 13     0.6457361    -0.0048039     0.2777921    -0.1159401
 14     0.2777921    -0.0100807     0.1897461    -0.1119072
 15     0.1897461    -0.0171118     0.1126384    -0.0750626
 16     0.1126384    -0.0264730    -0.0264730    -0.0402389
TIME STEP =        8
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6493341     0.1165686     0.2816436     0.0035980
  2     0.2816436     0.1121649     0.1947515     0.0074495
  3     0.1947515     0.0746492     0.1190992     0.0124548
  4     0.1190992     0.0390187    -0.0189156     0.0189156
  5     0.7659027     0.0000000     0.2772399     0.1165686
  6     0.2772399     0.0000000     0.1572358     0.1121649
  7     0.1572358     0.0000000     0.0834687     0.0746492
  8     0.0834687     0.0000000    -0.0176954     0.0390187
  9     0.7659027    -0.1165686     0.2772399     0.0000000
 10     0.2772399    -0.1121649     0.1572358     0.0000000
 11     0.1572358    -0.0746492     0.0834687     0.0000000
 12     0.0834687    -0.0390187    -0.0176954     0.0000000
 13     0.6493341    -0.0035980     0.2816436    -0.1165686
 14     0.2816436    -0.0074495     0.1947515    -0.1121649
 15     0.1947515    -0.0124548     0.1190992    -0.0746492
 16     0.1190992    -0.0189156    -0.0189156    -0.0390187
TIME STEP =        9
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6520581     0.1170356     0.2844926     0.0027240
  2     0.2844926     0.1123457     0.1983761     0.0055730
  3     0.1983761     0.0743296     0.1236653     0.0091977
  4     0.1236653     0.0381215    -0.0137638     0.0137638
  5     0.7690937     0.0000000     0.2798027     0.1170356
  6     0.2798027     0.0000000     0.1603600     0.1123457
  7     0.1603600     0.0000000     0.0874572     0.0743296
  8     0.0874572    -0.0000000    -0.0128666     0.0381215
  9     0.7690937    -0.1170356     0.2798027     0.0000000
 10     0.2798027    -0.1123457     0.1603600     0.0000000
 11     0.1603600    -0.0743296     0.0874572     0.0000000
 12     0.0874572    -0.0381215    -0.0128666    -0.0000000
 13     0.6520581    -0.0027240     0.2844926    -0.1170356
 14     0.2844926    -0.0055730     0.1983761    -0.1123457
 15     0.1983761    -0.0091977     0.1236653    -0.0743296
 16     0.1236653    -0.0137638    -0.0137638    -0.0381215
TIME STEP =       10
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6541431     0.1173873     0.2866258     0.0020850
  2     0.2866258     0.1124757     0.2010394     0.0042182
  3     0.2010394     0.0740815     0.1269493     0.0068814
  4     0.1269493     0.0374490    -0.0101654     0.0101654
  5     0.7715304    -0.0000000     0.2817141     0.1173873
  6     0.2817141     0.0000000     0.1626452     0.1124757
  7     0.1626452     0.0000000     0.0903168     0.0740815
  8     0.0903168    -0.0000000    -0.0094930     0.0374490
  9     0.7715304    -0.1173873     0.2817141    -0.0000000
 10     0.2817141    -0.1124757     0.1626452     0.0000000
 11     0.1626452    -0.0740815     0.0903168     0.0000000
 12     0.0903168    -0.0374490    -0.0094930    -0.0000000
 13     0.6541431    -0.0020850     0.2866258    -0.1173873
 14     0.2866258    -0.0042182     0.2010394    -0.1124757
 15     0.2010394    -0.0068814     0.1269493    -0.0740815
 16     0.1269493    -0.0101654    -0.0101654    -0.0374490
TIME STEP =       11
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6557562     0.1176556     0.2882416     0.0016131
  2     0.2882416     0.1125711     0.2030216     0.0032289
  3     0.2030216     0.0738884     0.1293468     0.0052112
  4     0.1293468     0.0369391    -0.0076087     0.0076087
  5     0.7734118    -0.0000000     0.2831571     0.1176556
  6     0.2831571     0.0000000     0.1643390     0.1125711
  7     0.1643390    -0.0000000     0.0923975     0.0738884
  8     0.0923975    -0.0000000    -0.0070987     0.0369391
  9     0.7734118    -0.1176556     0.2831571    -0.0000000
 10     0.2831571    -0.1125711     0.1643390     0.0000000
 11     0.1643390    -0.0738884     0.0923975    -0.0000000
 12     0.0923975    -0.0369391    -0.0070987    -0.0000000
 13     0.6557562    -0.0016131     0.2882416    -0.1176556
 14     0.2882416    -0.0032289     0.2030216    -0.1125711
 15     0.2030216    -0.0052112     0.1293468    -0.0738884
 16     0.1293468    -0.0076087    -0.0076087    -0.0369391
TIME STEP =       12
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6570174     0.1178625     0.2894791     0.0012612
  2     0.2894791     0.1126424     0.2045147     0.0024987
  3     0.2045147     0.0737375     0.1311205     0.0039917
  4     0.1311205     0.0365485    -0.0057653     0.0057653
  5     0.7748799    -0.0000000     0.2842590     0.1178625
  6     0.2842590     0.0000000     0.1656097     0.1126424
  7     0.1656097     0.0000000     0.0939315     0.0737375
  8     0.0939315    -0.0000000    -0.0053748     0.0365485
  9     0.7748799    -0.1178625     0.2842590    -0.0000000
 10     0.2842590    -0.1126424     0.1656097     0.0000000
 11     0.1656097    -0.0737375     0.0939315     0.0000000
 12     0.0939315    -0.0365485    -0.0053748    -0.0000000
 13     0.6570174    -0.0012612     0.2894791    -0.1178625
 14     0.2894791    -0.0024987     0.2045147    -0.1126424
 15     0.2045147    -0.0039917     0.1311205    -0.0737375
 16     0.1311205    -0.0057653    -0.0057653    -0.0365485
TIME STEP =       13
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6580136     0.1180239     0.2904371     0.0009962
  2     0.2904371     0.1126964     0.2056519     0.0019542
  3     0.2056519     0.0736187     0.1324485     0.0030914
  4     0.1324485     0.0362467    -0.0044194     0.0044194
  5     0.7760374     0.0000000     0.2851096     0.1180239
  6     0.2851096     0.0000000     0.1665742     0.1126964
  7     0.1665742     0.0000000     0.0950764     0.0736187
  8     0.0950764    -0.0000000    -0.0041176     0.0362467
  9     0.7760374    -0.1180239     0.2851096     0.0000000
 10     0.2851096    -0.1126964     0.1665742     0.0000000
 11     0.1665742    -0.0736187     0.0950764     0.0000000
 12     0.0950764    -0.0362467    -0.0041176    -0.0000000
 13     0.6580136    -0.0009962     0.2904371    -0.1180239
 14     0.2904371    -0.0019542     0.2056519    -0.1126964
 15     0.2056519    -0.0030914     0.1324485    -0.0736187
 16     0.1324485    -0.0044194    -0.0044194    -0.0362467
TIME STEP =       14
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6588085     0.1181510     0.2911866     0.0007949
  2     0.2911866     0.1127379     0.2065275     0.0015444
  3     0.2065275     0.0735247     0.1334540     0.0024200
  4     0.1334540     0.0360113    -0.0034255     0.0034255
  5     0.7769595     0.0000000     0.2857734     0.1181510
  6     0.2857734     0.0000000     0.1673143     0.1127379
  7     0.1673143    -0.0000000     0.0959406     0.0735247
  8     0.0959406     0.0000000    -0.0031902     0.0360113
  9     0.7769595    -0.1181510     0.2857734     0.0000000
 10     0.2857734    -0.1127379     0.1673143     0.0000000
 11     0.1673143    -0.0735247     0.0959406    -0.0000000
 12     0.0959406    -0.0360113    -0.0031902     0.0000000
 13     0.6588085    -0.0007949     0.2911866    -0.1181510
 14     0.2911866    -0.0015444     0.2065275    -0.1127379
 15     0.2065275    -0.0024200     0.1334540    -0.0735247
 16     0.1334540    -0.0034255    -0.0034255    -0.0360113
TIME STEP =       15
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6594494     0.1182523     0.2917791     0.0006409
  2     0.2917791     0.1127702     0.2072088     0.0012334
  3     0.2072088     0.0734498     0.1342236     0.0019147
  4     0.1342236     0.0358264    -0.0026843     0.0026843
  5     0.7777017    -0.0000000     0.2862969     0.1182523
  6     0.2862969     0.0000000     0.1678884     0.1127702
  7     0.1678884    -0.0000000     0.0966001     0.0734498
  8     0.0966001     0.0000000    -0.0024993     0.0358264
  9     0.7777017    -0.1182523     0.2862969    -0.0000000
 10     0.2862969    -0.1127702     0.1678884     0.0000000
 11     0.1678884    -0.0734498     0.0966001    -0.0000000
 12     0.0966001    -0.0358264    -0.0024993     0.0000000
 13     0.6594494    -0.0006409     0.2917791    -0.1182523
 14     0.2917791    -0.0012334     0.2072088    -0.1127702
 15     0.2072088    -0.0019147     0.1342236    -0.0734498
 16     0.1342236    -0.0026843    -0.0026843    -0.0358264
TIME STEP =       16
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6599716     0.1183340     0.2922526     0.0005222
  2     0.2922526     0.1127957     0.2077445     0.0009957
  3     0.2077445     0.0733898     0.1348187     0.0015314
  4     0.1348187     0.0356797    -0.0021266     0.0021266
  5     0.7783056    -0.0000000     0.2867143     0.1183340
  6     0.2867143     0.0000000     0.1683385     0.1127957
  7     0.1683385    -0.0000000     0.0971087     0.0733898
  8     0.0971087     0.0000000    -0.0019800     0.0356797
  9     0.7783056    -0.1183340     0.2867143    -0.0000000
 10     0.2867143    -0.1127957     0.1683385     0.0000000
 11     0.1683385    -0.0733898     0.0971087    -0.0000000
 12     0.0971087    -0.0356797    -0.0019800     0.0000000
 13     0.6599716    -0.0005222     0.2922526    -0.1183340
 14     0.2922526    -0.0009957     0.2077445    -0.1127957
 15     0.2077445    -0.0015314     0.1348187    -0.0733898
 16     0.1348187    -0.0021266    -0.0021266    -0.0356797
TIME STEP =       17
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6604010     0.1184003     0.2926348     0.0004295
  2     0.2926348     0.1128161     0.2081702     0.0008117
  3     0.2081702     0.0733410     0.1352837     0.0012373
  4     0.1352837     0.0355623    -0.0017023     0.0017023
  5     0.7788014     0.0000000     0.2870505     0.1184003
  6     0.2870505     0.0000000     0.1686951     0.1128161
  7     0.1686951     0.0000000     0.0975050     0.0733410
  8     0.0975050    -0.0000000    -0.0015849     0.0355623
  9     0.7788014    -0.1184003     0.2870505     0.0000000
 10     0.2870505    -0.1128161     0.1686951     0.0000000
 11     0.1686951    -0.0733410     0.0975050     0.0000000
 12     0.0975050    -0.0355623    -0.0015849    -0.0000000
 13     0.6604010    -0.0004295     0.2926348    -0.1184003
 14     0.2926348    -0.0008117     0.2081702    -0.1128161
 15     0.2081702    -0.0012373     0.1352837    -0.0733410
 16     0.1352837    -0.0017023    -0.0017023    -0.0355623
TIME STEP =       18
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6607564     0.1184545     0.2929459     0.0003554
  2     0.2929459     0.1128320     0.2085115     0.0006665
  3     0.2085115     0.0733007     0.1356509     0.0010078
  4     0.1356509     0.0354671    -0.0013750     0.0013750
  5     0.7792109     0.0000000     0.2873233     0.1184545
  6     0.2873233     0.0000000     0.1689802     0.1128320
  7     0.1689802     0.0000000     0.0978172     0.0733007
  8     0.0978172    -0.0000000    -0.0012797     0.0354671
  9     0.7792109    -0.1184545     0.2873233     0.0000000
 10     0.2873233    -0.1128320     0.1689802     0.0000000
 11     0.1689802    -0.0733007     0.0978172     0.0000000
 12     0.0978172    -0.0354671    -0.0012797    -0.0000000
 13     0.6607564    -0.0003554     0.2929459    -0.1184545
 14     0.2929459    -0.0006665     0.2085115    -0.1128320
 15     0.2085115    -0.0010078     0.1356509    -0.0733007
 16     0.1356509    -0.0013750    -0.0013750    -0.0354671
TIME STEP =       19
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6610523     0.1184992     0.2932010     0.0002959
  2     0.2932010     0.1128447     0.2087877     0.0005511
  3     0.2087877     0.0732672     0.1359436     0.0008272
  4     0.1359436     0.0353891    -0.0011199     0.0011199
  5     0.7795515     0.0000000     0.2875465     0.1184992
  6     0.2875465     0.0000000     0.1692101     0.1128447
  7     0.1692101    -0.0000000     0.0980655     0.0732672
  8     0.0980655     0.0000000    -0.0010419     0.0353891
  9     0.7795515    -0.1184992     0.2875465     0.0000000
 10     0.2875465    -0.1128447     0.1692101     0.0000000
 11     0.1692101    -0.0732672     0.0980655    -0.0000000
 12     0.0980655    -0.0353891    -0.0010419     0.0000000
 13     0.6610523    -0.0002959     0.2932010    -0.1184992
 14     0.2932010    -0.0005511     0.2087877    -0.1128447
 15     0.2087877    -0.0008272     0.1359436    -0.0732672
 16     0.1359436    -0.0011199    -0.0011199    -0.0353891
TIME STEP =       20
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6613010     0.1185364     0.2934119     0.0002486
  2     0.2934119     0.1128551     0.2090129     0.0004596
  3     0.2090129     0.0732394     0.1361788     0.0006848
  4     0.1361788     0.0353250    -0.0009201     0.0009201
  5     0.7798373     0.0000000     0.2877307     0.1185364
  6     0.2877307     0.0000000     0.1693972     0.1128551
  7     0.1693972     0.0000000     0.0982645     0.0732394
  8     0.0982645     0.0000000    -0.0008560     0.0353250
  9     0.7798373    -0.1185364     0.2877307     0.0000000
 10     0.2877307    -0.1128551     0.1693972     0.0000000
 11     0.1693972    -0.0732394     0.0982645     0.0000000
 12     0.0982645    -0.0353250    -0.0008560     0.0000000
 13     0.6613010    -0.0002486     0.2934119    -0.1185364
 14     0.2934119    -0.0004596     0.2090129    -0.1128551
 15     0.2090129    -0.0006848     0.1361788    -0.0732394
 16     0.1361788    -0.0009201    -0.0009201    -0.0353250
TIME STEP =       21
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6615119     0.1185677     0.2935879     0.0002109
  2     0.2935879     0.1128639     0.2091982     0.0003869
  3     0.2091982     0.0732164     0.1363695     0.0005722
  4     0.1363695     0.0352722    -0.0007628     0.0007628
  5     0.7800795     0.0000000     0.2878841     0.1185677
  6     0.2878841     0.0000000     0.1695507     0.1128639
  7     0.1695507     0.0000000     0.0984253     0.0732164
  8     0.0984253     0.0000000    -0.0007100     0.0352722
  9     0.7800795    -0.1185677     0.2878841     0.0000000
 10     0.2878841    -0.1128639     0.1695507     0.0000000
 11     0.1695507    -0.0732164     0.0984253     0.0000000
 12     0.0984253    -0.0352722    -0.0007100     0.0000000
 13     0.6615119    -0.0002109     0.2935879    -0.1185677
 14     0.2935879    -0.0003869     0.2091982    -0.1128639
 15     0.2091982    -0.0005722     0.1363695    -0.0732164
 16     0.1363695    -0.0007628    -0.0007628    -0.0352722
TIME STEP =       22
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6616919     0.1185941     0.2937359     0.0001800
  2     0.2937359     0.1128711     0.2093520     0.0003280
  3     0.2093520     0.0731969     0.1365253     0.0004818
  4     0.1365253     0.0352281    -0.0006376     0.0006376
  5     0.7802860    -0.0000000     0.2880129     0.1185941
  6     0.2880129     0.0000000     0.1696777     0.1128711
  7     0.1696777    -0.0000000     0.0985565     0.0731969
  8     0.0985565     0.0000000    -0.0005935     0.0352281
  9     0.7802860    -0.1185941     0.2880129    -0.0000000
 10     0.2880129    -0.1128711     0.1696777     0.0000000
 11     0.1696777    -0.0731969     0.0985565    -0.0000000
 12     0.0985565    -0.0352281    -0.0005935     0.0000000
 13     0.6616919    -0.0001800     0.2937359    -0.1185941
 14     0.2937359    -0.0003280     0.2093520    -0.1128711
 15     0.2093520    -0.0004818     0.1365253    -0.0731969
 16     0.1365253    -0.0006376    -0.0006376    -0.0352281
TIME STEP =       23
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6618462     0.1186165     0.2938612     0.0001543
  2     0.2938612     0.1128770     0.2094804     0.0002796
  3     0.2094804     0.0731802     0.1366538     0.0004081
  4     0.1366538     0.0351909    -0.0005366     0.0005366
  5     0.7804628    -0.0000000     0.2881217     0.1186165
  6     0.2881217     0.0000000     0.1697837     0.1128770
  7     0.1697837    -0.0000000     0.0986645     0.0731802
  8     0.0986645     0.0000000    -0.0004994     0.0351909
  9     0.7804628    -0.1186165     0.2881217    -0.0000000
 10     0.2881217    -0.1128770     0.1697837     0.0000000
 11     0.1697837    -0.0731802     0.0986645    -0.0000000
 12     0.0986645    -0.0351909    -0.0004994     0.0000000
 13     0.6618462    -0.0001543     0.2938612    -0.1186165
 14     0.2938612    -0.0002796     0.2094804    -0.1128770
 15     0.2094804    -0.0004081     0.1366538    -0.0731802
 16     0.1366538    -0.0005366    -0.0005366    -0.0351909
TIME STEP =       24
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6619793     0.1186357     0.2939679     0.0001331
  2     0.2939679     0.1128819     0.2095886     0.0002398
  3     0.2095886     0.0731659     0.1367605     0.0003479
  4     0.1367605     0.0351594    -0.0004547     0.0004547
  5     0.7806150    -0.0000000     0.2882141     0.1186357
  6     0.2882141     0.0000000     0.1698726     0.1128819
  7     0.1698726    -0.0000000     0.0987540     0.0731659
  8     0.0987540     0.0000000    -0.0004231     0.0351594
  9     0.7806150    -0.1186357     0.2882141    -0.0000000
 10     0.2882141    -0.1128819     0.1698726     0.0000000
 11     0.1698726    -0.0731659     0.0987540    -0.0000000
 12     0.0987540    -0.0351594    -0.0004231     0.0000000
 13     0.6619793    -0.0001331     0.2939679    -0.1186357
 14     0.2939679    -0.0002398     0.2095886    -0.1128819
 15     0.2095886    -0.0003479     0.1367605    -0.0731659
 16     0.1367605    -0.0004547    -0.0004547    -0.0351594
TIME STEP =       25
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6620949     0.1186522     0.2940594     0.0001155
  2     0.2940594     0.1128861     0.2096803     0.0002070
  3     0.2096803     0.0731537     0.1368498     0.0002987
  4     0.1368498     0.0351325    -0.0003880     0.0003880
  5     0.7807471    -0.0000000     0.2882932     0.1186522
  6     0.2882932     0.0000000     0.1699479     0.1128861
  7     0.1699479     0.0000000     0.0988287     0.0731537
  8     0.0988287    -0.0000000    -0.0003611     0.0351325
  9     0.7807471    -0.1186522     0.2882932    -0.0000000
 10     0.2882932    -0.1128861     0.1699479     0.0000000
 11     0.1699479    -0.0731537     0.0988287     0.0000000
 12     0.0988287    -0.0351325    -0.0003611    -0.0000000
 13     0.6620949    -0.0001155     0.2940594    -0.1186522
 14     0.2940594    -0.0002070     0.2096803    -0.1128861
 15     0.2096803    -0.0002987     0.1368498    -0.0731537
 16     0.1368498    -0.0003880    -0.0003880    -0.0351325
TIME STEP =       26
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6621959     0.1186666     0.2941383     0.0001010
  2     0.2941383     0.1128897     0.2097585     0.0001800
  3     0.2097585     0.0731432     0.1369250     0.0002582
  4     0.1369250     0.0351096    -0.0003334     0.0003334
  5     0.7808625    -0.0000000     0.2883614     0.1186666
  6     0.2883614     0.0000000     0.1700119     0.1128897
  7     0.1700119     0.0000000     0.0988915     0.0731432
  8     0.0988915     0.0000000    -0.0003104     0.0351096
  9     0.7808625    -0.1186666     0.2883614    -0.0000000
 10     0.2883614    -0.1128897     0.1700119     0.0000000
 11     0.1700119    -0.0731432     0.0988915     0.0000000
 12     0.0988915    -0.0351096    -0.0003104     0.0000000
 13     0.6621959    -0.0001010     0.2941383    -0.1186666
 14     0.2941383    -0.0001800     0.2097585    -0.1128897
 15     0.2097585    -0.0002582     0.1369250    -0.0731432
 16     0.1369250    -0.0003334    -0.0003334    -0.0351096
TIME STEP =       27
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6622848     0.1186791     0.2942069     0.0000889
  2     0.2942069     0.1128929     0.2098257     0.0001575
  3     0.2098257     0.0731341     0.1369887     0.0002247
  4     0.1369887     0.0350899    -0.0002885     0.0002885
  5     0.7809639     0.0000000     0.2884207     0.1186791
  6     0.2884207     0.0000000     0.1700669     0.1128929
  7     0.1700669     0.0000000     0.0989446     0.0731341
  8     0.0989446     0.0000000    -0.0002688     0.0350899
  9     0.7809639    -0.1186791     0.2884207     0.0000000
 10     0.2884207    -0.1128929     0.1700669     0.0000000
 11     0.1700669    -0.0731341     0.0989446     0.0000000
 12     0.0989446    -0.0350899    -0.0002688     0.0000000
 13     0.6622848    -0.0000889     0.2942069    -0.1186791
 14     0.2942069    -0.0001575     0.2098257    -0.1128929
 15     0.2098257    -0.0002247     0.1369887    -0.0731341
 16     0.1369887    -0.0002885    -0.0002885    -0.0350899
TIME STEP =       28
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6623635     0.1186902     0.2942670     0.0000787
  2     0.2942670     0.1128956     0.2098838     0.0001388
  3     0.2098838     0.0731261     0.1370431     0.0001970
  4     0.1370431     0.0350728    -0.0002514     0.0002514
  5     0.7810537    -0.0000000     0.2884724     0.1186902
  6     0.2884724     0.0000000     0.1701143     0.1128956
  7     0.1701143     0.0000000     0.0989898     0.0731261
